n,m,lb,ub,training,jobs,LPT,RL,time,once,five times,bound,fixed bound ,Error from LPT,Error RL from bound,Error LPT from bound ,Mean error from LPT,Error RL from bound,Error LPT from bound 
9,3,1,20,4000,"{3,4,7,8,9,13,13,13,20}",31,30,29.94194937,0,6.896551724,15,26,3.225806452,13.33333333,16.12903226,,,
9,3,1,20,4000,"{1,2,6,6,8,14,17,17,18}",31,31,25.79504776,0,12.65060241,12,31,0,0,0,,,
9,3,1,20,4000,"{1,3,5,7,8,11,12,17,17}",28,28,24.2651484,1.310043668,22.27074236,12,23,0,17.85714286,17.85714286,,,
9,3,1,20,4000,"{1,2,9,9,10,15,15,16,19}",35,33,22.03126311,0,11.82108626,18,30,5.714285714,9.090909091,14.28571429,,,
9,3,1,20,4000,"{2,3,3,4,4,5,12,18,20}",24,24,16.29238749,0,4,8,20,0,16.66666667,16.66666667,,,
9,3,1,20,4000,"{1,12,12,14,16,17,18,18,19}",46,46,26.56669903,0,5.747126437,26,35,0,23.91304348,23.91304348,,,
9,3,1,20,4000,"{2,8,12,13,14,17,17,19,19}",44,45,21.3955164,0,7.1197411,25,34,-2.272727273,24.44444444,22.72727273,,,
9,3,1,20,4000,"{1,1,1,3,5,10,16,18,18}",26,26,18.00604749,0,6.097560976,9,26,0,0,0,,,
9,3,1,20,4000,"{8,9,10,12,14,16,16,16,17}",40,40,29.30612588,0.879765396,15.24926686,22,32,0,20,20,,,
9,3,1,20,4000,"{1,2,8,8,9,11,13,14,20}",31,29,19.33026767,0,8.502024291,16,24,6.451612903,17.24137931,22.58064516,,,
9,3,1,20,4000,"{2,3,4,5,10,10,13,15,19}",27,27,15.28618288,0.865800866,12.55411255,9,23,0,14.81481481,14.81481481,,,
9,3,1,20,4000,"{2,6,6,10,14,18,19,20,20}",40,39,19.78607464,0,7.421875,16,37,2.5,5.128205128,7.5,,,
9,3,1,20,4000,"{2,4,6,8,8,9,11,15,16}",27,27,18.36863065,1.62601626,10.97560976,14,20,0,25.92592593,25.92592593,,,
9,3,1,20,4000,"{1,2,8,12,13,16,17,18,19}",39,37,20.58819914,0.476190476,19.28571429,20,33,5.128205128,10.81081081,15.38461538,,,
9,3,1,20,4000,"{2,2,6,9,12,13,18,18,20}",35,34,32.1524868,0,2.5,15,31,2.857142857,8.823529412,11.42857143,,,
